Seconds,Yaw,Pitch,Temperature (C),Pressure (hPa),Altitude,Humidity,Battery voltage,Ref pressure (hPa)
337,66,14,31,845,1584.313372,0,4,1016.25
338,68,16,31,850,1532.796944,0,4,1016.25
339,76,20,31,850,1532.796944,0,4,1016.25
340,78,12,31,850,1532.796944,0,4,1016.25
341,92,22,31,850,1532.796944,0,4,1016.25
342,304,30,31,850,1532.796944,0,4,1016.25
343,278,52,31,855,1481.639961,0,4,1016.25
344,272,46,30,855,1481.639961,0,4,1016.25
345,246,39,30,855,1481.639961,0,4,1016.25
346,154,67,30,860,1430.837835,0,4,1016.25
347,24,81,30,860,1430.837835,0,4,1016.25
348,26,59,29,870,1330.280221,0,4,1016.25
349,52,58,29,870,1330.280221,0,4,1016.25
350,80,70,29,870,1330.280221,0,4,1016.25
351,166,80,29,875,1280.515973,0,4,1016.25
352,338,41,29,875,1280.515973,0,4,1016.25
353,354,60,28,880,1231.089057,0,4,1016.25
354,292,53,28,880,1231.089057,0,4,1016.25
355,322,57,28,885,1181.99529,0,4,1016.25
356,328,61,28,885,1181.99529,0,4,1016.25
357,324,57,28,885,1181.99529,0,4,1016.25
358,314,56,27,890,1133.230562,0,4,1016.25
359,298,59,27,890,1133.230562,0,4,1016.25
360,308,57,27,895,1084.790838,0,4,1016.25
361,352,63,26,905,988.8706175,0,4,1016.25
362,290,47,26,905,988.8706175,0,4,1016.25
363,304,56,26,910,941.3824021,0,4,1016.25
364,278,57,25,910,941.3824021,0,4,1016.25
365,232,61,25,915,894.2037497,0,4,1016.25
366,242,75,25,915,894.2037497,0,4,1016.25
367,106,32,25,920,847.3309674,0,4,1016.25
368,110,50,25,920,847.3309674,0,4,1016.25
369,130,54,25,920,847.3309674,0,4,1016.25
370,170,33,25,925,800.7604258,0,4,1016.25
371,196,45,25,925,800.7604258,0,4,1016.25
372,198,23,25,925,800.7604258,0,4,1016.25
373,176,58,24,935,708.511858,0,4,1016.25
374,182,42,24,935,708.511858,0,4,1016.25
375,178,48,24,935,708.511858,0,4,1016.25
376,180,23,24,935,708.511858,0,4,1016.25
377,186,37,24,935,708.511858,0,4,1016.25
378,180,37,24,940,662.8268798,0,4,1016.25
379,282,85,24,940,662.8268798,0,4,1016.25
380,318,60,24,940,662.8268798,0,4,1016.25
381,288,54,24,940,662.8268798,0,4,1016.25
382,274,37,24,945,617.4302351,0,4,1016.25
383,132,78,24,945,617.4302351,0,4,1016.25
384,38,51,23,945,617.4302351,0,4,1016.25
385,176,56,23,955,527.4886787,0,4,1016.25
386,246,45,23,960,482.937271,0,4,1016.25
387,270,29,23,960,482.937271,0,4,1016.25
388,222,41,23,965,438.6612027,0,4,1016.25
389,170,31,23,965,438.6612027,0,4,1016.25
390,140,43,23,965,438.6612027,0,4,1016.25
391,138,27,23,970,394.6573587,0,4,1016.25
392,148,22,23,970,394.6573587,0,4,1016.25
393,164,59,23,970,394.6573587,0,4,1016.25
394,180,35,23,970,394.6573587,0,4,1016.25
395,184,54,23,970,394.6573587,0,4,1016.25
396,174,40,23,975,350.922675,0,4,1016.25
397,194,58,23,975,350.922675,0,4,1016.25
398,176,38,23,980,307.4541375,0,4,1016.25
399,178,47,23,980,307.4541375,0,4,1016.25
400,180,28,23,985,264.2487809,0,4,1016.25
401,184,30,23,985,264.2487809,0,4,1016.25
402,190,31,23,985,264.2487809,0,4,1016.25
403,194,48,23,985,264.2487809,0,4,1016.25
404,192,43,23,990,221.303688,0,4,1016.25
405,214,64,23,990,221.303688,0,4,1016.25
406,186,43,23,990,221.303688,0,4,1016.25
407,162,29,23,990,221.303688,0,4,1016.25
408,164,51,23,995,178.6159884,0,4,1016.25
409,174,39,23,995,178.6159884,0,4,1016.25
410,190,23,23,1000,136.1828575,0,4,1016.25
411,186,28,23,1000,136.1828575,0,4,1016.25
412,182,32,23,1000,136.1828575,0,4,1016.25
413,210,42,23,1000,136.1828575,0,4,1016.25
414,214,33,24,1005,94.00151558,0,4,1016.25
415,210,51,24,1005,94.00151558,0,4,1016.25
416,202,39,24,1005,94.00151558,0,4,1016.25
417,194,43,24,1005,94.00151558,0,4,1016.25
418,116,41,24,1010,52.06922712,0,4,1016.25